,Production
Kerala,97880045375.70009
Andhra Pradesh,17324590296.0
Tamil Nadu,12076443048.929998
Uttar Pradesh,3234492662.6999974
Assam,2111751759.0
West Bengal,1397904389.6999998
Maharashtra,1263640606.2
Karnataka,863429811.68
Andaman and Nicobar Islands,718223239.9900004
Punjab,586385001.0
Gujarat,524291337.0
Goa,505755757.58
Madhya Pradesh,448840738.65999997
Puducherry,384724502.0
Haryana,381273890.0
Bihar,366483596.6600001
Telangana ,335147930.0
Rajasthan,281320270.5
Odisha,160904070.09999922
Uttarakhand,132177355.0
Chhattisgarh,100951908.00999999
Himachal Pradesh,17805168.599999998
Jammu and Kashmir ,13291015.699999982
Nagaland,12765950.0
Tripura,12522917.0
Meghalaya,12112496.0
Jharkhand,10777741.75000001
Arunachal Pradesh,6823912.6000000015
Manipur,5230917.0
Sikkim,2435735.0
Dadra and Nagar Haveli,1847871.0
Mizoram,1661539.83
Chandigarh,63956.5
